                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20231127"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      701                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.3057388796293665E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.3057388796293665E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836636039063E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256836636039063E+000                 -4.9256836637139285E+000                 -1.4521986221226088E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416908965213102E+000                  5.3986989606057204E-002                  2.6626486262490490E-001                  3.9055379020533234E+000                  0.0000000000000000E+000                  1.4891917204866438E+001                  1.4483780881632238E-001                  6.6225825281797430E+000                  6.2123283091520565E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        4 
                                       5                                      700                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388968444261054E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388968444261054E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836676972098E+000                 -9.8999999999999986E+001                 -2.0293948446095037E+001                 -4.9256836676972098E+000                 -4.9256836678072329E+000                 -1.4521986317271255E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882542956692E+000                  5.3976413924228403E-002                  2.6626485923527221E-001                  3.9055379088325886E+000                  0.0000000000000000E+000                  1.4891917206671582E+001                  1.4483780990360742E-001                  6.6225825288925497E+000                  6.2123283091476988E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      10                                      700                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388971087942633E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388971087942633E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836792818230E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256836792818230E+000                 -4.9256836793918461E+000                 -1.4521986573679245E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882554851364E+000                  5.3976418693191267E-002                  2.6626485924081900E-001                  3.9055379088214952E+000                  0.0000000000000000E+000                  1.4891917211683472E+001                  1.4483781292270048E-001                  6.6225825308713100E+000                  6.2123283091356030E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      15                                      700                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388989963858332E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388989963858332E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836968679352E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256836968679352E+000                 -4.9256836969779574E+000                 -1.4521986907150042E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882380305693E+000                  5.3976348947926356E-002                  2.6626485927732152E-001                  3.9055379087484901E+000                  0.0000000000000000E+000                  1.4891917219007189E+001                  1.4483781734338919E-001                  6.6225825337539659E+000                  6.2123283091179926E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      20                                      700                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8389068306149562E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8389068306149562E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256837231484312E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256837231484312E+000                 -4.9256837232584534E+000                 -1.4521987296775563E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882409111451E+000                  5.3976360914737537E-002                  2.6626485949957507E-001                  3.9055379083039830E+000                  0.0000000000000000E+000                  1.4891917229499558E+001                  1.4483782369973000E-001                  6.6225825378611587E+000                  6.2123283090929171E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      25                                      700                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8389389536618364E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8389389536618364E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256837607684734E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256837607684734E+000                 -4.9256837608784956E+000                 -1.4521987677934373E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882455930724E+000                  5.3976380158680483E-002                  2.6626485975769237E-001                  3.9055379077877483E+000                  0.0000000000000000E+000                  1.4891917244161650E+001                  1.4483783264127906E-001                  6.6225825435422996E+000                  6.2123283090582848E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      30                                      700                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8390729489864064E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8390729489864064E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256838086541945E+000                 -9.8999999999999986E+001                 -2.0470039705150718E+001                 -4.9256838086541936E+000                 -4.9256838087642167E+000                 -1.4521987947893399E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882469021505E+000                  5.3976385787257566E-002                  2.6626485995382426E-001                  3.9055379073954848E+000                  0.0000000000000000E+000                  1.4891917263863549E+001                  1.4483784481080317E-001                  6.6225825510240774E+000                  6.2123283090128023E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      35                                      700                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8396513430958547E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8396513430958547E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256838549167190E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -4.9256838549167190E+000                 -4.9256838550267412E+000                 -1.4521988029857365E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882467912739E+000                  5.3976385385059333E-002                  2.6626485997447935E-001                  3.9055379073541743E+000                  0.0000000000000000E+000                  1.4891917289424793E+001                  1.4483786099951443E-001                  6.6225825603370216E+000                  6.2123283089565273E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4468833607861275E-003                  9.3805276451495410E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      40                                      700                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8422651580151394E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8422651580151394E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256838718340408E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -4.9256838718340408E+000                 -4.9256838719440630E+000                 -1.4521987912087713E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882460341262E+000                  5.3976381280561911E-002                  2.6626485943652506E-001                  3.9055379084300830E+000                  0.0000000000000000E+000                  1.4891917322808103E+001                  1.4483788313022283E-001                  6.6225825715267517E+000                  6.2123283088897940E-001                  8.5000496627254196E-001                  1.2966429887659310E+000                  6.9999999999999984E-001                  2.7997020236474879E-001                  3.4468833607861258E-003                  9.3805276451495393E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000007E-001                  2.7997020236474884E-001                                        0                                        2 
